id;name;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;neighbourhood_group
14287;Cozy 1BD on Central Park West in New York City;56094;Joya;Upper West Side;40.78635;-73.97008000000002;Entire home/apt;151;2;73;2019-07-07;0.63;1;302;Manhattan
14290;* ORIGINAL BROOKLYN LOFT *;56104;James;Williamsburg;40.7042;-73.9356;Entire home/apt;228;3;82;2019-05-17;0.7;1;140;Brooklyn
14314;Greenpoint Place...Has It All! ;56246;Jeanne;Greenpoint;40.73506;-73.95392;Entire home/apt;144;2;328;2019-06-29;2.82;1;234;Brooklyn
14322;Beautiful Apartment in Manhattan!!!;56284;Francesca;Kips Bay;40.73961;-73.98074;Entire home/apt;200;7;19;2019-03-25;0.22;1;257;Manhattan
14377;Williamsburg 1 bedroom Apartment;56512;Joanna;Williamsburg;40.70881;-73.9593;Entire home/apt;150;30;105;2019-06-22;0.9;1;30;Brooklyn
15220;Best Location in NYC! TIMES SQUARE!;59734;Luiz;Hell's Kitchen;40.75531;-73.99293;Private room;69;2;289;2019-06-09;2.49;2;294;Manhattan
15338;Room in Greenpoint Loft w/ Roof;32169;Andrea;Greenpoint;40.72401;-73.93788;Private room;49;4;138;2019-06-04;1.19;3;320;Brooklyn
15341;**Bright Nolita Apt w Doorman/Elevators/Gym**;60049;Ted;SoHo;40.7221;-73.99775;Entire home/apt;180;30;21;2019-06-29;0.3;1;154;Manhattan
15396;Sunny & Spacious Chelsea Apartment;60278;Petra;Chelsea;40.74623;-73.9953;Entire home/apt;375;180;5;2018-11-03;0.12;1;180;Manhattan
15711;2 bedroom - Upper East Side-great for kids;61491;D;Upper East Side;40.77065;-73.95269;Entire home/apt;250;2;66;2019-03-30;0.57;2;231;Manhattan
16326;Comfortable 4-bedroom apt in family house.;63588;Dimitri;Prospect Heights;40.67811;-73.96428;Entire home/apt;200;30;143;2019-01-26;1.33;2;297;Brooklyn
16338;Double Room w Private Deck Clinton Hill Best Area;63613;Patricia;Clinton Hill;40.69;-73.96788000000002;Private room;55;7;27;2017-09-30;0.23;2;292;Brooklyn
16421;Your Heaven in Hells Kitchen;63924;Mark;Hell's Kitchen;40.75979;-73.99119;Private room;52;30;191;2019-05-16;1.65;1;191;Manhattan
16458;Light-filled 2B duplex in the heart of Park Slope!;64056;Sara;Park Slope;40.67343;-73.98338000000003;Entire home/apt;225;3;4;2017-09-24;0.16;1;0;Brooklyn
16595;*HAVEN LOFT - Entire Floor - Six Windows - Bricks*;64522;Daniel;Williamsburg;40.70933;-73.96791999999998;Entire home/apt;275;1;148;2019-06-23;1.4;1;362;Brooklyn
16821;Large Room in Amazing East Village Apt;4396;Casey;East Village;40.72298;-73.98474;Private room;99;1;106;2019-06-21;1.26;2;336;Manhattan
16974;SpaHa Loft: Enormous and Bright;65837;Robin;East Harlem;40.80164;-73.93921999999998;Entire home/apt;225;4;190;2019-06-23;1.64;1;215;Manhattan
17037;Lovely EV Artist's Home;66035;Anna;East Village;40.72162;-73.98008;Entire home/apt;230;9;49;2018-05-14;0.43;1;116;Manhattan
17092;Cool Room in Hell's Kitchen;66243;Enzo;Hell's Kitchen;40.76342;-73.98865;Private room;51;7;23;2019-06-01;0.43;1;88;Manhattan
17747;BLUE TRIM GUEST HOUSE;68599;George;Clinton Hill;40.68346;-73.96374;Private room;105;2;105;2019-06-26;0.92;1;304;Brooklyn
18127;Charming East Village One Bedroom Flat;69829;Josh;East Village;40.72828;-73.98801;Entire home/apt;190;5;21;2019-01-02;0.2;1;224;Manhattan
18152;Manhattan Room;69942;Victoria;Upper East Side;40.76865;-73.95058;Private room;200;1;142;2019-07-06;1.5;1;322;Manhattan
18198;Little King of Queens;70091;Justin;Woodside;40.75038;-73.90334;Private room;70;30;25;2019-05-31;0.22;1;324;Queens
18590;Fort Greene Retreat on the Park;71512;Blaise;Fort Greene;40.6932;-73.97267;Private room;95;3;143;2019-06-16;1.28;1;132;Brooklyn
18728;Beautiful Meatpacking District Loft;71876;DAVID And RICK;Chelsea;40.74138;-74.00197;Private room;150;3;167;2019-05-28;1.65;1;295;Manhattan
18764;Cozy 2 BR in Williamsburg ;72014;Lulú;Williamsburg;40.71154;-73.96112;Private room;145;3;61;2019-04-22;0.54;4;238;Brooklyn
19159;Spacious luminous apt Upper West NYC;73051;Sybilla;Harlem;40.82915;-73.95136;Entire home/apt;110;31;54;2019-03-23;0.49;1;209;Manhattan
19169;Entire 2 Bedroom - Large & Sunny;73128;JoLynn;Lower East Side;40.71851;-73.98892;Entire home/apt;285;5;70;2019-06-30;0.62;1;328;Manhattan
19319;Private room Great Deal at Lower East Side;44263;Ana;Lower East Side;40.7114;-73.98794000000002;Private room;94;30;94;2019-04-08;0.84;1;188;Manhattan
19601;perfect for a family or small group;74303;Maggie;Brooklyn Heights;40.69723;-73.99268000000002;Entire home/apt;800;1;25;2016-08-04;0.24;1;7;Brooklyn
19812;2 bedroom Williamsburg Apt - Bedford L stop;74857;Starlee;Williamsburg;40.71833;-73.95748;Entire home/apt;105;3;61;2018-08-09;0.53;1;272;Brooklyn
20299;Oh glorious spring!;62407;Edward;East Village;40.72334;-73.9844;Private room;60;3;194;2019-06-30;1.73;1;26;Manhattan
20300;Great Location for NYC;76627;Pas;East Village;40.72912;-73.98057;Private room;50;1;2;2016-02-14;0.05;1;0;Manhattan
20611;Cozy Bedroom in Williamsburg 3 BR;72014;Lulú;Williamsburg;40.71156;-73.96218;Private room;85;3;174;2019-06-22;1.54;4;288;Brooklyn
20724;Sunny room+Pvte office in huge loft;961342;Augustin;Bushwick;40.70032;-73.9383;Private room;65;4;24;2019-05-26;0.28;1;317;Brooklyn
20734;Spacious Prospect Heights Apartment;78460;Sean & Lynette;Prospect Heights;40.68233;-73.97261;Entire home/apt;131;4;166;2019-06-27;3.4;1;207;Brooklyn
20853;2-bed brownstone duplex + garden;79070;Tracy;Prospect Heights;40.68035;-73.97162;Entire home/apt;250;7;21;2019-05-21;0.3;1;158;Brooklyn
20913;Charming 1 bed GR8 WBurg LOCATION!;79402;Christiana;Williamsburg;40.70984;-73.95775;Entire home/apt;100;5;168;2018-07-22;1.57;1;0;Brooklyn
21293;Sunny Apartment in Artist Home;44145;Tyrome;Bushwick;40.70093;-73.92609;Entire home/apt;105;3;118;2019-06-18;1.05;2;9;Brooklyn
21456;Light-filled classic Central Park ;42032;Dana;Upper West Side;40.79764;-73.96177;Entire home/apt;140;3;81;2019-07-07;0.71;1;198;Manhattan
21794;COZY QUIET room 4 DOOGLERS!;83257;Olan;Chelsea;40.74008;-74.00271;Private room;98;30;30;2019-05-01;0.27;2;364;Manhattan
22911;The Stuydio Modern and Light Filled;87773;Shelly;Bedford-Stuyvesant;40.68413;-73.92357;Entire home/apt;125;7;139;2018-10-28;1.23;2;311;Brooklyn
22918;loft bed - near transportation-15min to times sq;32294;Ssameer Or Trip;Harlem;40.82279000000001;-73.95139;Private room;60;3;11;2019-01-03;0.87;3;219;Manhattan
23135;House On Henry (3rd FLR Suite);11481;Annette;Carroll Gardens;40.67967;-74.00154;Entire home/apt;175;2;233;2019-06-24;2.09;3;342;Brooklyn
23501;Monkey Retreat Manhattan;63318;Meka;Washington Heights;40.83927;-73.94281;Private room;65;2;68;2012-11-01;0.6;1;312;Manhattan
23686;2000 SF 3br 2bath West Village private  townhouse;93790;Ann;West Village;40.73096;-74.00319;Entire home/apt;500;4;46;2019-05-18;0.55;2;243;Manhattan
24285;Beautiful Duplex Apartment;97797;Brenda;Park Slope;40.66941;-73.98109000000002;Entire home/apt;220;30;88;2018-11-02;0.79;1;9;Brooklyn
25235;Large 2 Bedroom Great for Groups!;87773;Shelly;Bedford-Stuyvesant;40.68373;-73.92376999999998;Entire home/apt;125;90;162;2019-06-28;1.46;2;137;Brooklyn
26012;Sunny 2-story Brooklyn townhouse w deck and garden;109589;Jessica;Gowanus;40.68157;-73.98989;Entire home/apt;200;30;19;2017-03-17;0.2;1;208;Brooklyn
26559;Beautiful Apartment East Village;112793;Sally;East Village;40.7288;-73.98192;Entire home/apt;140;7;12;2017-12-11;0.13;1;164;Manhattan
26785;Park Slope Green Guest House;42273;Dani;South Slope;40.66853;-73.98912;Entire home/apt;120;30;467;2018-12-30;4.22;2;192;Brooklyn
26933;2 BR / 2 Bath Duplex Apt with patio! East Village;72062;Bruce;East Village;40.7254;-73.98156999999998;Entire home/apt;350;2;7;2017-08-09;0.06;4;298;Manhattan
26954;NYC fabulous views Manhattan's eye;115157;Nimo;Kips Bay;40.74294;-73.98009;Entire home/apt;199;5;38;2015-12-02;0.38;1;260;Manhattan
26969;2 story family home in Williamsburg;115307;Alexandra;Williamsburg;40.71942;-73.95748;Entire home/apt;325;3;324;2019-06-23;3.01;1;107;Brooklyn
27006;Comfortable UWS 2-BD Family-Friendly Brownstone;115560;Stacy;Upper West Side;40.77823;-73.97636999999997;Entire home/apt;235;6;27;2019-04-27;0.27;1;199;Manhattan
27385;Great Large 1 BR apt  in East Village!;72062;Bruce;East Village;40.72555;-73.97965;Entire home/apt;225;1;115;2019-06-07;1.05;4;299;Manhattan
27531;Eveland Private Bed & Living Room w/ Own Entrance;118971;Evelyn;South Slope;40.66831;-73.98604;Private room;99;2;354;2019-05-20;3.2;3;20;Brooklyn
27644;Sugar Hill Rest Stop ;119510;Emma;Harlem;40.82754;-73.94919;Entire home/apt;170;2;195;2019-07-01;2.03;1;318;Manhattan
27659;3 Story Town House in Park Slope;119588;Vero;South Slope;40.66499;-73.97925;Entire home/apt;400;2;16;2018-12-30;0.24;2;216;Brooklyn
27759;apartment next to Central park;119900;Sylvie;Upper West Side;40.77842;-73.97556;Entire home/apt;170;7;13;2019-06-26;0.12;1;224;Manhattan
27883;East Village Sanctuary;120223;Jen;East Village;40.72245;-73.98527;Entire home/apt;100;4;25;2011-12-10;0.23;1;0;Manhattan
28321;Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.;65091;Kay;Prospect-Lefferts Gardens;40.65593;-73.96053;Private room;75;2;9;2018-10-05;0.08;1;324;Brooklyn
28396;Modern Apt with Spectacular Views;6197784;Jo;Williamsburg;40.71923;-73.96468;Private room;90;1;9;2011-09-18;0.08;1;245;Brooklyn
28907;Garden studio in the Upper East Sid;124352;Lisa;Upper East Side;40.778;-73.94821999999998;Entire home/apt;150;5;21;2017-08-15;0.19;1;189;Manhattan
29012;Secluded Master Bedroom in Beautiful Huge Apt;124797;Fernando And Lenin;Washington Heights;40.85879;-73.93128;Private room;85;15;36;2017-08-17;0.33;1;307;Manhattan
29013;B & B Room 1;35935;Angela;Bedford-Stuyvesant;40.68332;-73.9547;Private room;70;3;63;2019-05-14;0.58;2;310;Brooklyn
29455;ACCOMMODATIONS GALORE #1;126607;Laurine;Harlem;40.81618;-73.94894000000002;Entire home/apt;120;3;155;2019-06-20;1.42;3;213;Manhattan
29628;Sunny Room in New Condo;127608;Chris;Clinton Hill;40.68414;-73.96351;Private room;89;3;260;2019-07-03;2.35;1;278;Brooklyn
29683;Stylish & Sleek Apartment Near SoHo!;125857;Uli;East Village;40.72392;-73.99143000000002;Entire home/apt;185;5;73;2019-06-25;0.66;1;209;Manhattan
30031;NYC artists’ loft with roof deck;129352;Sol;Greenpoint;40.73494;-73.9503;Private room;50;3;193;2019-05-20;1.86;1;0;Brooklyn
30927;Unique & Charming small 1br Apt. LES;120335;Cs;Lower East Side;40.71341;-73.98855999999998;Entire home/apt;105;3;32;2019-06-14;0.29;1;16;Manhattan
31130;Most Central Location!;117287;Lara;Hell's Kitchen;40.76754;-73.98399;Private room;130;2;50;2019-05-26;0.45;3;234;Manhattan
31555;Luminous Beautiful West Village Studio;135619;Tom;West Village;40.73442;-74.00303000000002;Entire home/apt;115;29;26;2019-07-01;0.25;1;12;Manhattan
31902;Sanctuary in East Flatbush;137292;Sunder;Flatlands;40.63188;-73.93248;Private room;77;2;2;2019-01-01;0.02;1;178;Brooklyn
31994;Room with En Suite Bathroom & Deck;137814;Waldemar;Clinton Hill;40.6873;-73.9634;Private room;76;2;426;2019-06-24;3.89;3;275;Brooklyn
32023;FLAT MACDONOUGH;137974;Khem;Bedford-Stuyvesant;40.68296;-73.93661999999998;Entire home/apt;125;3;227;2019-06-23;2.09;2;163;Brooklyn
32037;Huge Private  Floor at The Waverly;116599;Sahr;Clinton Hill;40.6863;-73.96765;Private room;135;4;84;2019-07-01;0.77;3;365;Brooklyn
32363;Fully Furnished Basement Apartment;140025;Fredah;Flushing;40.74028;-73.83168;Private room;140;2;1;2011-09-19;0.01;1;1;Queens
32965;FLAT MACDONOUGH GARDEN;137974;Khem;Bedford-Stuyvesant;40.68281;-73.93524000000002;Entire home/apt;115;3;124;2019-06-20;1.72;2;170;Brooklyn
32969;Light filled Williamsburg Apartment;142833;Katherine;Williamsburg;40.71596;-73.93938;Entire home/apt;160;3;11;2019-07-02;0.11;1;188;Brooklyn
33009;Retreat in Williamsburg;143027;Ming;Williamsburg;40.71492;-73.95935;Entire home/apt;195;4;240;2019-06-17;2.19;1;214;Brooklyn
33014;NYC Zen;143048;Paula;East Village;40.72354;-73.98295;Entire home/apt;195;3;30;2019-06-17;0.28;1;248;Manhattan
33223;Cozy BR in Wiliamsburg 3 Bedroom;72014;Lulú;Williamsburg;40.71165;-73.96087;Private room;80;3;200;2019-06-22;1.86;4;262;Brooklyn
34760;Sunny Room in Old Historical Brooklyn Townhouse;149929;Obed;Fort Greene;40.69101;-73.97312;Private room;44;8;27;2019-06-29;1.05;5;280;Brooklyn
35526;Sun Filled Classic West Village Apt;120291;Karen;West Village;40.73474;-74.00101;Private room;156;4;79;2019-06-22;0.74;1;307;Manhattan
36121;Lg Rm in Historic Prospect Heights;62165;Michael;Prospect Heights;40.67386;-73.96641;Private room;85;15;9;2013-05-10;0.09;1;339;Brooklyn
36133;Classic Artist Loft Williamsburg;142684;White;Williamsburg;40.71536;-73.96056999999998;Private room;125;3;155;2019-06-13;1.61;1;1;Brooklyn
36442;Great location. Spacious on PROSPECT PARK;137432;Paz;Prospect Heights;40.6741;-73.96595;Entire home/apt;115;15;4;2018-08-27;0.05;1;269;Brooklyn
36647;Private Bdrm/Bathrm. New! Elevator!;157798;Irene;East Harlem;40.79295;-73.93997;Private room;69;2;34;2017-05-29;0.32;1;10;Manhattan
36934;Great location in Williamsburg;159370;Viviana;Williamsburg;40.71363;-73.96398;Entire home/apt;125;6;27;2018-12-27;0.25;1;189;Brooklyn
38638;Light and Airy Upper East Side 1 BDR apartment;92788;Sara;Upper East Side;40.77711;-73.9527;Entire home/apt;219;4;126;2019-06-26;1.16;2;290;Manhattan
38663;Luxury Brownstone in Boerum Hill;165789;Sarah;Boerum Hill;40.68559000000001;-73.98094;Entire home/apt;475;3;23;2018-12-31;0.27;1;230;Brooklyn
39267;CENTRAL PARK LOFT all for YOU;168417;Marie;Upper East Side;40.77456;-73.95323;Entire home/apt;99;1;234;2019-06-08;2.6;2;164;Manhattan
39282;Indie-Chic Share In Williamsburg;168525;Gus;Williamsburg;40.71088;-73.95055;Private room;69;4;202;2019-05-28;1.86;2;53;Brooklyn
40039;Luxurious Condo in DUBMO with View;171851;Henry;DUMBO;40.70207;-73.98571;Private room;250;3;14;2011-04-25;0.13;1;189;Brooklyn
40453;Charming & Cozy midtown loft any WEEK ENDS  !!!;174025;Sylvia;Upper East Side;40.76123;-73.9642;Entire home/apt;250;3;4;2016-09-23;0.08;1;365;Manhattan
41348;* Spacious GARDEN Park Slope Duplex* 6 people max;180083;Syl;Gowanus;40.66858;-73.99083;Entire home/apt;250;2;80;2019-07-06;2.17;1;0;Brooklyn
41513;Convenient cozy cheap apt Manhattan;181167;Lorenzo;Harlem;40.82704;-73.94906999999998;Entire home/apt;80;3;2;2015-11-02;0.04;1;0;Manhattan
42580;Parlor Room In Victorian Townhouse;137814;Waldemar;Clinton Hill;40.68843;-73.96408000000002;Private room;70;2;294;2019-06-24;3.47;3;336;Brooklyn
42729;House On Henry (2nd FLR Suite);11481;Annette;Carroll Gardens;40.6783;-74.00135;Entire home/apt;165;2;150;2019-06-18;1.4;3;342;Brooklyn
42882;New York room with a view;185978;Newyorkroomwithaview;St. George;40.64524;-74.08088000000002;Private room;70;2;166;2019-06-13;1.66;1;312;Staten Island
43957;Sunny cozy room in Brklyn townhouse;177536;Tessa;Bushwick;40.70641;-73.91765;Private room;50;2;47;2019-06-19;0.94;1;37;Brooklyn
44161;Light+Open+Airy+Rustic+Modern Loft;193360;Young;Williamsburg;40.71045;-73.9677;Entire home/apt;150;2;193;2016-07-06;1.78;1;177;Brooklyn
44212;West Inn 2 - East Village;72062;Bruce;East Village;40.72518;-73.98034;Private room;125;1;84;2019-06-23;0.78;4;310;Manhattan
44221;Financial District Luxury Loft;193722;Coral;Financial District;40.70666;-74.01374;Entire home/apt;196;3;114;2019-06-20;1.06;1;0;Manhattan
44229;BROOKLYN VICTORIAN STYLE SUITE.....;181376;Carol;Fort Greene;40.69098;-73.97113;Private room;110;2;213;2019-06-24;2.0;2;321;Brooklyn
44288;Your own Lovely West Village Studio;193637;Sara;West Village;40.73756;-74.00405;Entire home/apt;170;3;86;2019-06-01;0.8;1;246;Manhattan
44506;ACCOMMODATIONS GALORE#3. 1-5 GUESTS;126607;Laurine;Harlem;40.81526;-73.94791;Entire home/apt;165;3;80;2019-05-26;0.75;3;231;Manhattan
45393;Greenwich Village Stylish Apartment;201297;Myrna;West Village;40.73423;-74.0046;Entire home/apt;150;26;38;2016-04-20;0.36;1;225;Manhattan
45542;Clean and Cozy Harlem Apartment;202249;Campbell;Harlem;40.82374;-73.9373;Entire home/apt;100;2;18;2018-12-17;1.79;1;0;Manhattan
45910;Beautiful Queens Brownstone! - 5BR;204539;Mark;Ridgewood;40.70382;-73.89797;Entire home/apt;350;8;10;2019-05-12;0.11;5;365;Queens
45936;Couldn't Be Closer To Columbia Uni;867225;Rahul;Morningside Heights;40.80549;-73.95924000000002;Private room;99;4;122;2019-05-14;1.18;2;233;Manhattan
45940;Bright Spacious Luxury Condo;204724;Miyoung;Williamsburg;40.71627;-73.9587;Entire home/apt;200;4;33;2019-04-08;0.58;1;1;Brooklyn
46544;Park Slope haven 15 mins from Soho;8198;Monica;Park Slope;40.67994;-73.97863000000002;Entire home/apt;150;5;52;2019-06-05;0.5;1;18;Brooklyn
46723;SAFE  AND BEAUTIFUL ACCOMODATION;209460;Marylyn;Bedford-Stuyvesant;40.67992;-73.9475;Private room;90;3;126;2019-05-19;1.17;4;343;Brooklyn
46911;Large Room in private Brownstone in Park Slope;210746;Kathleen R.;Prospect Heights;40.67868;-73.97306999999998;Private room;120;3;51;2019-06-24;0.48;3;250;Brooklyn
47370;Chelsea Studio sublet 1 - 2 months;214287;Alex;Chelsea;40.74031;-73.99999;Entire home/apt;125;3;3;2015-07-17;0.03;1;0;Manhattan
47926;LUX APT IN TIMES SQUARE NEW BUILDING;218404;Claudia;Hell's Kitchen;40.76307;-73.99665;Entire home/apt;275;1;41;2019-06-26;0.38;1;299;Manhattan
48719;Designer 1 BR Duplex w/ Terrace- Spectacular Views;221873;Shane;Lower East Side;40.71882;-73.98852;Entire home/apt;299;2;109;2019-06-15;1.04;1;207;Manhattan
"50447;""Lovely Apt & Garden;  Legal;  Best Area; Amenities"";9744;Laurie;South Slope;40.6693;-73.98804;Entire home/apt;135;5;151;2019-06-22;1.43;3;162;Brooklyn"
51485;Lower East Side $57~/night;236655;Erina;Lower East Side;40.72319;-73.99201;Private room;83;1;285;2019-06-22;2.69;1;7;Manhattan
51572;Prime Location in Manhattan;237329;Lee;Chelsea;40.74859;-73.99671;Private room;123;1;375;2019-06-18;3.52;1;328;Manhattan
51850;( F) Excellent/Pvt Rm;27848;Jullett;Jamaica;40.67252;-73.76597;Private room;55;2;52;2019-05-20;0.49;2;365;Queens
53196;Big Room/Washer-Dryer/Wifi/AC/JMZ;247432;Charlotte;Bedford-Stuyvesant;40.69546;-73.93503;Private room;80;2;11;2017-11-13;0.48;1;0;Brooklyn
53469;cozy studio with parking spot;204539;Mark;Middle Village;40.71722000000001;-73.87856;Entire home/apt;98;30;33;2015-05-09;0.31;5;240;Queens
53470;Clean and convenient 2BR apartment;204539;Mark;Ridgewood;40.70234;-73.89816;Private room;140;7;6;2015-10-08;0.06;5;365;Queens
53477;3 floors of luxury!;204539;Mark;Middle Village;40.71546;-73.87854;Entire home/apt;265;7;38;2019-04-27;0.38;5;365;Queens
54158;The Institute—Heart of Williamsburg;10889;Bob;Williamsburg;40.7195;-73.95976;Entire home/apt;249;2;358;2019-06-20;3.44;2;164;Brooklyn
54453;MIDTOWN WEST - Large alcove studio;255583;Anka;Hell's Kitchen;40.76548;-73.98474;Shared room;105;6;10;2014-01-07;0.09;1;363;Manhattan
54508;Sml Rm in pr Brst  Park Sl great for Med/students;210746;Kathleen R.;Prospect Heights;40.6787;-73.97261999999998;Private room;100;2;226;2019-06-06;2.12;3;250;Brooklyn
